bag,label_norm,rgb,vis,nir,thermal_c,lidar_plane,lidar_points,lidar_reason,error
2026-06-23-08-26-48.bag,calib_p01_low_center,True,True,False,False,True,1569,,
2026-06-23-08-30-20.bag,calib_p01_low_left,True,False,False,False,True,1552,,
2026-06-23-08-39-46.bag,calib_p01_low_left_02,True,False,False,False,True,1215,,
2026-06-23-08-43-50.bag,calib_p03_low_right,True,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-08-49-49.bag,calib_p04_low_top,True,False,False,False,True,828,,
2026-06-23-08-51-56.bag,calib_p05_low_bottom,True,False,False,False,True,986,,
2026-06-23-08-54-31.bag,calib_p06_low_topleft,True,False,False,False,True,871,,
2026-06-23-08-56-12.bag,calib_p07_low_topright,True,False,False,False,True,754,,
2026-06-23-08-58-21.bag,calib_p08_low_bottomleft,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-08-59-53.bag,calib_p09_low_bottomright,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-09-02-50.bag,calib_p10_low_roll_plus,True,False,False,False,True,909,,
2026-06-23-09-04-17.bag,calib_p11_low_roll_minus,True,False,False,False,True,964,,
2026-06-23-09-06-46.bag,calib_p12_low_tilt,True,True,False,False,True,599,,
2026-06-23-09-10-36.bag,calib_p13_mid_center,True,False,False,False,True,1269,,
2026-06-23-09-12-23.bag,calib_p14_mid_left,True,False,False,False,True,1297,,
2026-06-23-09-14-07.bag,calib_p15_mid_right,True,False,False,False,True,1018,,
2026-06-23-09-17-27.bag,calib_p16_mid_top,True,False,False,False,True,1183,,
2026-06-23-09-19-08.bag,calib_p17_mid_bottom,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-09-21-49.bag,calib_p18_mid_topleft,True,False,False,False,True,1261,,
2026-06-23-09-23-06.bag,calib_p19_mid_topright,True,False,False,False,True,1059,,
2026-06-23-09-24-53.bag,calib_p20_mid_bottomleft,True,False,False,False,True,1378,,
2026-06-23-09-27-27.bag,calib_p21_mid_bottomright,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-09-49-39.bag,calib_p22_mid_roll_plus,True,False,False,False,True,1466,,
2026-06-23-09-51-00.bag,calib_p23_mid_roll_minus,True,False,False,False,True,1233,,
2026-06-23-09-55-04.bag,calib_p24_mid_tilt,True,False,False,False,True,516,,
2026-06-23-10-00-18.bag,calib_p25_high_center,True,False,False,False,True,1116,,
2026-06-23-10-02-00.bag,calib_p26_high_left,True,False,False,False,True,1125,,
2026-06-23-10-03-25.bag,calib_p27_high_right,True,False,False,False,True,841,,
2026-06-23-10-05-51.bag,calib_p28_high_top,True,False,False,False,True,1024,,
2026-06-23-10-08-32.bag,calib_p29_high_bottom,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-10-10-54.bag,calib_p30_high_topleft,True,False,False,False,True,926,,
2026-06-23-10-12-24.bag,calib_p31_high_topright,True,False,False,False,True,714,,
2026-06-23-10-14-20.bag,calib_p32_high_bottomleft,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-10-16-16.bag,calib_p33_high_bottomright,False,False,False,False,False,,no_rgb_detection_or_no_cloud,
2026-06-23-10-18-28.bag,calib_p34_high_roll_plus,True,False,False,False,True,1115,,
2026-06-23-10-20-30.bag,calib_p35_high_roll_minus,True,False,False,False,True,1104,,
2026-06-23-10-22-47.bag,calib_p36_high_tilt,True,False,False,False,True,842,,
