label,bag,source,frame_index,stamp_ns,method,board_area_px,used_final,mean_px,median_px,max_px,std_px
calib_p01_low_center,2026-06-23-08-26-48.bag,scan,0,1782196009607153738,scan_summary,325493.0441920236,True,1.6743866205215454,1.1514363288879395,7.608738899230957,1.4472101926803589
calib_p01_low_left,2026-06-23-08-30-20.bag,scan,0,1782196221625530944,scan_summary,328832.35284693167,True,1.6561022996902466,1.4864039421081543,5.6778669357299805,1.2210373878479004
calib_p01_low_left_02,2026-06-23-08-39-46.bag,scan,0,1782196787175088930,scan_summary,329163.04343013465,True,1.5188499689102173,1.2907462120056152,5.728898048400879,1.1618586778640747
calib_p03_low_right,2026-06-23-08-43-50.bag,scan,0,1782197031712628992,scan_summary,317062.3784049973,True,0.8822150230407715,0.813917338848114,2.1189963817596436,0.4846104085445404
calib_p04_low_top,2026-06-23-08-49-49.bag,scan,0,1782197389977697738,scan_summary,322521.93312402815,True,0.974429726600647,0.8473446369171143,2.6639111042022705,0.5519111156463623
calib_p05_low_bottom,2026-06-23-08-51-56.bag,scan,0,1782197517493153513,scan_summary,324531.6080587059,True,0.9641278386116028,0.9591668248176575,2.3976895809173584,0.5519432425498962
calib_p06_low_topleft,2026-06-23-08-54-31.bag,scan,0,1782197672749854231,scan_summary,326110.40818967856,True,0.9617772698402405,0.7817825078964233,3.4485275745391846,0.6250274777412415
calib_p07_low_topright,2026-06-23-08-56-12.bag,scan,0,1782197773016593213,scan_summary,320605.1608371213,True,0.8614810109138489,0.8202228546142578,2.271033525466919,0.478572815656662
calib_p09_low_bottomright,2026-06-23-08-59-53.bag,refined,0,1782197998525129431,gray_unsharp_classic_guided_s0.75_inv,319018.98550402373,True,0.6340058445930481,0.5479801893234253,1.751948595046997,0.37855443358421326
calib_p10_low_roll_plus,2026-06-23-09-02-50.bag,scan,0,1782198170806860331,scan_summary,322869.5131995231,True,1.3936848640441895,1.17845618724823,4.179418087005615,0.9765008091926575
calib_p11_low_roll_minus,2026-06-23-09-04-17.bag,scan,0,1782198257811345689,scan_summary,324915.80046360195,True,1.0774800777435303,0.9400033950805664,3.6511740684509277,0.7122201323509216
calib_p12_low_tilt,2026-06-23-09-06-46.bag,scan,0,1782198407322927670,scan_summary,301497.20442430675,True,2.214735507965088,2.1194984912872314,4.538053035736084,1.1389942169189453
calib_p13_mid_center,2026-06-23-09-10-36.bag,scan,0,1782198637596288310,scan_summary,444643.62681402266,True,1.3933120965957642,1.1958757638931274,4.19942045211792,0.8660614490509033
calib_p14_mid_left,2026-06-23-09-12-23.bag,scan,0,1782198744352721312,scan_summary,449872.25544245355,True,1.4982879161834717,1.227254867553711,4.213574409484863,0.9899475574493408
calib_p15_mid_right,2026-06-23-09-14-07.bag,scan,0,1782198848367175421,scan_summary,437454.16881548613,True,1.2362685203552246,1.0916411876678467,3.3774499893188477,0.7594504356384277
calib_p16_mid_top,2026-06-23-09-17-27.bag,scan,0,1782199047873748736,scan_summary,445222.5672069993,True,1.3016541004180908,1.0383858680725098,3.9076833724975586,0.8545029163360596
calib_p17_mid_bottom,2026-06-23-09-19-08.bag,refined,0,1782199152882618018,gray_unsharp_classic_guided_s0.75_inv,443887.24186098576,True,0.8082669377326965,0.7281631231307983,2.1312620639801025,0.4775346517562866
calib_p18_mid_topleft,2026-06-23-09-21-49.bag,scan,0,1782199309905096027,scan_summary,449994.368473066,True,1.3577802181243896,1.2000000476837158,4.300342082977295,0.9939089417457581
calib_p19_mid_topright,2026-06-23-09-23-06.bag,scan,0,1782199387155286335,scan_summary,442124.1873703487,True,1.4182065725326538,1.1247739791870117,4.6245903968811035,1.019512414932251
calib_p20_mid_bottomleft,2026-06-23-09-24-53.bag,scan,0,1782199494417452968,scan_summary,450649.6019117832,True,1.4193682670593262,1.2054808139801025,8.434664726257324,1.3059931993484497
calib_p22_mid_roll_plus,2026-06-23-09-49-39.bag,scan,0,1782200980131962743,scan_summary,446504.0154384747,True,1.444245457649231,1.361022710800171,3.795332431793213,0.8779150247573853
calib_p23_mid_roll_minus,2026-06-23-09-51-00.bag,scan,0,1782201061125716317,scan_summary,446393.9217290804,True,1.0974736213684082,0.9808242321014404,3.196937084197998,0.6358955502510071
calib_p24_mid_tilt,2026-06-23-09-55-04.bag,scan,0,1782201305130153320,scan_summary,423541.0929044485,True,1.7868199348449707,1.4170544147491455,4.7409210205078125,1.1621026992797852
calib_p25_high_center,2026-06-23-10-00-18.bag,scan,0,1782201619414370146,scan_summary,677203.1100658514,True,1.8255500793457031,1.4998304843902588,5.48573637008667,1.1400221586227417
calib_p26_high_left,2026-06-23-10-02-00.bag,scan,0,1782201721423384781,scan_summary,688804.7825148236,True,1.8387395143508911,1.660942554473877,6.408802032470703,1.1963785886764526
calib_p27_high_right,2026-06-23-10-03-25.bag,scan,0,1782201805931332225,scan_summary,660927.8332784176,True,1.57261061668396,1.3833694458007812,4.718038082122803,0.9276142716407776
calib_p28_high_top,2026-06-23-10-05-51.bag,scan,0,1782201951943416997,scan_summary,680482.205060998,True,1.408698558807373,1.1736046075820923,4.826013088226318,1.0191210508346558
calib_p30_high_topleft,2026-06-23-10-10-54.bag,scan,0,1782202255715527696,scan_summary,690014.3918861011,True,1.8459807634353638,1.6403746604919434,5.885380268096924,1.1897248029708862
calib_p31_high_topright,2026-06-23-10-12-24.bag,scan,0,1782202345475819938,scan_summary,664810.5297845788,True,1.4654431343078613,1.2999598979949951,4.567917823791504,0.9137506484985352
calib_p34_high_roll_plus,2026-06-23-10-18-28.bag,scan,0,1782202709007959573,scan_summary,678653.720349662,True,1.7161810398101807,1.4847010374069214,5.401636123657227,1.134308099746704
calib_p35_high_roll_minus,2026-06-23-10-20-30.bag,scan,0,1782202831016116791,scan_summary,679082.0867247693,True,1.7797632217407227,1.6819801330566406,5.387815475463867,0.9819412231445312
calib_p36_high_tilt,2026-06-23-10-22-47.bag,scan,0,1782202968028701062,scan_summary,659750.6377318017,True,2.012058973312378,1.8645738363265991,6.133270740509033,1.2895585298538208
