label_norm,bag,detected,source_priority,pattern,method,score,frame_index
calib_p01_low_center,2026-06-23-08-26-48.bag,True,raw_production,9x5,thermal_raw_raw_ff_clahe16_SB_fast_s1_pos,109859.86697151538,34
calib_p01_low_left,2026-06-23-08-30-20.bag,True,scalar_fallback,8x5,sb_local_inv_s1,60745.487664186745,
calib_p01_low_left_02,2026-06-23-08-39-46.bag,False,none,,__,0.0,
calib_p03_low_right,2026-06-23-08-43-50.bag,True,raw_production,9x5,thermal_c_raw_ff_clahe16_SB_fast_s1_pos,109712.86680809618,24
calib_p04_low_top,2026-06-23-08-49-49.bag,True,scalar_fallback,9x5,scalar_scalar_flatfield_clahe_s1_r0_pos,88876.81289025466,
calib_p05_low_bottom,2026-06-23-08-51-56.bag,False,none,,__,0.0,
calib_p06_low_topleft,2026-06-23-08-54-31.bag,False,none,,__,0.0,
calib_p07_low_topright,2026-06-23-08-56-12.bag,True,raw_production,9x5,thermal_raw_raw_ff_clahe16_SB_fast_s1_pos,109581.64198268531,64
calib_p08_low_bottomleft,2026-06-23-08-58-21.bag,False,none,,__,0.0,
calib_p09_low_bottomright,2026-06-23-08-59-53.bag,False,none,,__,0.0,
calib_p10_low_roll_plus,2026-06-23-09-02-50.bag,True,raw_production,9x5,thermal_raw_raw_ff_bilateral_clahe8_SB_fast_s1_pos,109726.80686279351,30
calib_p11_low_roll_minus,2026-06-23-09-04-17.bag,False,none,,__,0.0,
calib_p12_low_tilt,2026-06-23-09-06-46.bag,False,none,,__,0.0,
calib_p13_mid_center,2026-06-23-09-10-36.bag,True,raw_production,9x5,thermal_c_raw_ff_bilateral_clahe8_SB_fast_s1_pos,117988.41659448144,2
calib_p14_mid_left,2026-06-23-09-12-23.bag,False,none,,__,0.0,
calib_p15_mid_right,2026-06-23-09-14-07.bag,False,none,,__,0.0,
calib_p16_mid_top,2026-06-23-09-17-27.bag,False,none,,__,0.0,
calib_p17_mid_bottom,2026-06-23-09-19-08.bag,False,none,,__,0.0,
calib_p18_mid_topleft,2026-06-23-09-21-49.bag,False,none,,__,0.0,
calib_p19_mid_topright,2026-06-23-09-23-06.bag,True,raw_production,9x5,thermal_c_raw_ff_clahe16_SB_fast_s1_pos,117514.9991707296,48
calib_p20_mid_bottomleft,2026-06-23-09-24-53.bag,False,none,,__,0.0,
calib_p21_mid_bottomright,2026-06-23-09-27-27.bag,False,none,,__,0.0,
calib_p22_mid_roll_plus,2026-06-23-09-49-39.bag,False,none,,__,0.0,
calib_p23_mid_roll_minus,2026-06-23-09-51-00.bag,False,none,,__,0.0,
calib_p24_mid_tilt,2026-06-23-09-55-04.bag,False,none,,__,0.0,
calib_p25_high_center,2026-06-23-10-00-18.bag,False,none,,__,0.0,
calib_p26_high_left,2026-06-23-10-02-00.bag,False,none,,__,0.0,
calib_p27_high_right,2026-06-23-10-03-25.bag,False,none,,__,0.0,
calib_p28_high_top,2026-06-23-10-05-51.bag,False,none,,__,0.0,
calib_p29_high_bottom,2026-06-23-10-08-32.bag,False,none,,__,0.0,
calib_p30_high_topleft,2026-06-23-10-10-54.bag,False,none,,__,0.0,
calib_p31_high_topright,2026-06-23-10-12-24.bag,False,none,,__,0.0,
calib_p32_high_bottomleft,2026-06-23-10-14-20.bag,False,none,,__,0.0,
calib_p33_high_bottomright,2026-06-23-10-16-16.bag,False,none,,__,0.0,
calib_p34_high_roll_plus,2026-06-23-10-18-28.bag,False,none,,__,0.0,
calib_p35_high_roll_minus,2026-06-23-10-20-30.bag,False,none,,__,0.0,
calib_p36_high_tilt,2026-06-23-10-22-47.bag,False,none,,__,0.0,
